player_id,name,position,goals,assists,points,shots,timeOnIcePerGame
8476439,Brett Ritchie,RW,5,7,12,69,10.28
8476931,Jake McCabe,D,3,9,12,63,17.72
8473453,Trevor Lewis,C,5,7,12,89,11.93
8477507,Nikita Zadorov,D,4,8,12,64,16.82
8477922,Melker Karlsson,C,6,6,12,58,11.97
8476449,Scott Harrington,D,2,10,12,51,13.46
8479376,Victor Mete,D,3,9,12,60,15.57
8471743,Vladimir Sobotka,LW,4,8,12,75,13.83
8479458,Nikita Zaitsev,D,2,10,12,61,20.77
8477943,Brendan Perlini,LW,6,6,12,76,10.72
8477454,Adam Erne,LW,5,7,12,67,11.51
8471817,Ryan Reaves,RW,5,7,12,55,10.17
8476356,Tobias Rieder,C,4,8,12,75,11.14
8475462,Radko Gudas,D,1,11,12,78,16.16
8470775,Nate Thompson,C,4,8,12,56,12.55
8474027,Justin Braun,D,1,11,12,63,16.82
8475796,Mark Pysyk,D,4,8,12,54,13.03
8475735,Greg McKegg,C,6,6,12,46,9.72
8477455,Jacob de la Rose,LW,4,8,12,57,10.72
8474612,Travis Hamonic,D,3,9,12,90,20.04
8474567,Zach Bogosian,D,1,10,11,66,16.61
8474218,Jason Demers,D,1,10,11,61,19.39
8476988,Matt Benning,D,2,9,11,55,13.08
8480172,Jan Rutta,D,2,9,11,66,15.03
8476967,Brett Kulak,D,2,9,11,93,16.5
8475750,Jon Merrill,D,3,8,11,54,17.31
8475747,Patrik Nemeth,D,2,9,11,71,20.28
8474207,Nick Holden,D,3,8,11,81,17.65
8475841,Tim Heed,D,2,9,11,60,12.84
8472382,Andy Greene,D,1,10,11,58,18.72
8476440,Markus Granlund,C,6,5,11,57,11.17
8475807,Joakim Nordstrom,LW,5,6,11,65,11.92
8477527,Ross Johnston,LW,5,6,11,39,8.18
8474291,Jay Beagle,C,3,8,11,53,12.42
8477046,Joakim Ryan,D,2,9,11,76,17.58
8465009,Zdeno Chara,D,3,8,11,70,19.82
8476948,Charles Hudon,LW,5,6,11,83,11.4
8468493,Ron Hainsey,D,1,10,11,47,19.57
8474736,Zac Rinaldo,C,6,5,11,51,8.33
8470607,Brent Seabrook,D,3,7,10,78,17.43
8477509,Mirco Mueller,D,2,8,10,41,16.92
8474668,Dale Weise,RW,3,7,10,47,9.59
8477213,Tim Schaller,C,5,5,10,57,11.32
8474125,Carl Gunnarsson,D,3,7,10,50,15.2
8475233,David Savard,D,1,9,10,78,19.52
8476467,Jamie Oleksiak,D,3,7,10,61,15.24
8474618,Marco Scandella,D,3,7,10,67,16.88
8475188,Brayden McNabb,D,2,8,10,60,18.95
8474709,Matt Martin,LW,5,5,10,53,10.48
8471426,Troy Brouwer,RW,6,4,10,53,9.9
8476457,Adam Larsson,D,2,8,10,71,19.03
8477845,Trevor van Riemsdyk,D,2,8,10,66,14.4
8475790,Erik Gudbranson,D,3,7,10,78,18.31
8474818,Jordie Benn,D,1,8,9,66,15.85
8480147,Oscar Fantenberg,D,2,7,9,66,15.33
8477401,John Hayden,RW,5,4,9,55,9.69
8471686,Marc Staal,D,1,8,9,53,17.06
8470187,Johnny Boychuk,D,1,8,9,84,16.71
8475179,Dmitry Kulikov,D,1,8,9,57,18.58
8470151,Jay Bouwmeester,D,1,8,9,56,20.33
8470110,Trevor Daley,D,1,7,8,50,15.38
8471729,Kris Russell,D,0,8,8,48,16.47
8471769,Niklas Hjalmarsson,D,1,7,8,42,17.98
8471677,Jack Johnson,D,1,7,8,56,18.5
8470601,Braydon Coburn,D,1,7,8,62,13.85
8468674,Deryk Engelland,D,1,7,8,66,17.04
8471716,Justin Abdelkader,LW,2,6,8,55,11.77
8477850,Christian Folin,D,2,6,8,50,14.11
8475186,John Moore,D,3,5,8,74,16.11
8471284,Andrej Sekera,D,1,7,8,62,16.96
8475324,Nick Jensen,D,0,8,8,55,17.18
8473415,Alex Biega,D,0,8,8,75,15.9
8475762,Derek Forbort,D,1,6,7,58,17.32
